158.49,519.89,144.74,282.37
207.88,442.6,193.52,210.26
128.26,400,112.57,165.23
257.42,518.13,240.27,276.8
189.82,563.98,176.59,318.7
185.08,456.98,170.91,223.94
153.36,447.82,139.66,214.04
241.09,296.41,232.89,45.17
190.26,562.15,176.59,318.7
185.17,378.88,170.39,142.47
101.14,342.52,80.05,100.94
167.71,352.17,152.29,112.39
154.7,607.46,144.79,356.07
150.95,311.35,131.57,66.01
129.13,447.23,115.82,213.28
129.13,447.23,115.82,213.28
129.01,328.4,109.52,86.11
117.53,307.76,96.33,61.75
106.25,428.51,92,195.28
70.32,556.03,65.28,314.37
295.87,463.39,279.56,226.35
176.86,544.46,164.41,303
159.96,388.94,145.19,152.73
97.43,407.09,81.15,172.73
96.76,366.63,77.57,129.57
96.76,366.63,77.57,129.57
86,428.5,71.06,194.82
39.55,456.08,26.73,222.62
317.22,434.38,303.64,196
233,475.97,217.96,241.76
194.35,548.58,180.67,306.56
149.63,587.69,140.78,339.75
71.2,437.27,56.2,203.88
233.18,475.11,217.96,241.76
169.35,412.22,154.87,177.91
167.8,435.29,154.09,201.13
157.09,290.51,140.19,41.91
147.86,379.5,132.11,143.19
147.86,379.5,132.11,143.19
145.97,342.35,128.82,102.07
145.97,342.35,128.82,102.07
136.37,377.87,119.62,141.29
97.41,526.94,89.23,288.27
97.41,526.94,89.23,288.27
94.11,326.77,71.49,84.37
67.46,601.4,65.92,351.96
53.61,442.03,39.17,209.22
261.8,529.17,244.91,286.56
231.02,272,222.16,16.86
176.06,374.97,161.62,138.33
113.93,314.28,92.42,70.08
87.37,382.96,68.8,147.73
86.7,435.29,72.2,201.93
69.01,548.18,63.34,306.84
68.85,492.9,58.91,259.27
65.23,407.67,48.07,173.68
55.08,533.35,49.42,294.91
49.2,564.12,46.17,321.52
36.76,473.85,25.38,239.03
16.76,488.68,7.45,253.96
325.35,423.19,312.81,184.22
275.1,504.45,257.54,264.95
258.61,539.65,240.47,297.12
227.28,465.81,212.99,230.54
162.94,574.28,151.77,328.94
158.09,342.44,141.76,101.95
157.64,330.73,141.26,88.6
148.98,282.46,130.04,30.46
142.01,598.84,133.2,349.24
141.83,419.54,127.4,185.73
140.92,614.18,132.82,361.26
122.21,467.5,109.74,233.38
122.78,272.61,100.19,17.64
109.58,469.02,97.2,235.38
108.34,373.2,90.19,136.32
107.16,342.88,87.14,102.82
102.69,434.3,88.26,200.89
92.95,351.24,72.05,112.42
91.21,422.36,75.83,189.03
87.8,343.99,66.1,103.94
87.37,409.05,71.04,174.84
87.37,409.05,71.04,174.84
84.27,526.88,76.78,288.55
84.19,322.27,60.4,79
61.19,515.6,53.81,278.84
59.26,548.03,54.61,307.71
50.8,472.2,39.64,238.61
49.08,514.15,41.92,277.32
49.08,514.15,41.92,277.32
44.29,400.05,25.46,165.94
40.65,572.48,38.84,328.47
31.75,504.62,24.42,268.84
31.75,504.62,24.42,268.84
23.57,502.09,15.46,266.87
15.31,476.42,5.09,242.92
334.74,388.58,326.02,147.65
297.43,338.6,291.19,93.45
279.44,497.06,262.25,258.08
235.55,463.99,220.82,229.84
197.65,553.89,183.83,311.2
180.09,575.74,167.43,329.92
173.73,386.6,159.09,150.9
163.13,440.13,149.45,206.05
147.65,359.12,130.91,121.52
147.65,359.12,130.91,121.52
145.39,336.7,128.21,95.41
119.87,309.02,98.24,62.58
118.3,574.3,110.73,329.18
116.96,267.77,92.82,11.45
116.96,267.77,92.82,11.45
115.94,278.72,92.45,25.97
115.94,278.72,92.45,25.97
111.49,347.8,92.64,108.51
108.16,333.91,87.54,92.37
100.98,440.75,87.01,207.09
97.79,515.33,88.66,278.23
93.44,406.91,76.99,172.46
90.23,373.36,71.16,137.21
80.9,335.5,58.02,94.47
80.1,578.38,75.58,333.02
79.08,375.08,59.47,139.12
74.14,533.4,67.22,294.67
64.83,577.93,62.08,333.07
58.42,363.88,36.16,126.75
51.03,396.03,32.25,161.83
48.32,525.53,41.99,288
47.44,389.08,27.72,154.21
44.47,519.42,37.9,282.3
42.81,368.16,20.56,131.44
39.42,505.42,31.65,269.6
39.42,505.42,31.65,269.6
251.5,559.17,232.07,314.95
242.86,553.57,225.49,309.56
189.11,618.13,176.15,364.08
189.11,605.26,176.25,353.74
181.16,560.22,168.08,317.51
179.51,388.95,165.27,153.38
167.69,452.79,154.18,218.79
166.19,472.52,152.54,237.73
165.08,429.96,151.21,196.26
163.89,404.37,149.44,169.93
163.59,303.95,146.62,56.56
163.28,286.38,146.14,35.49
154.52,362.28,138.68,124.63
150.79,384.93,135.24,149.12
149.44,368.91,133.54,131.58
147.85,389.52,132.39,154.1
144.83,394.04,129.61,159.47
119.32,308.22,98.24,62.58
